date,cases_new,deaths_new,total_test,checkins,unique_ind,unique_loc,casual_contacts,total_beds_available,admitted_covid,discharged_covid,hosp_covid,bed_icu_covid,icu_covid,vent_covid
2021-03-01,1828,5,61120,20953407,7840380,744902,7847,68359,368,445,2274,583,248,93
2021-03-02,1555,6,64907,20700283,7793948,755392,6419,68369,423,485,2230,569,251,135
2021-03-03,1745,7,66232,21190929,7900984,760762,6903,68368,331,394,2188,571,243,132
2021-03-04,2063,5,67529,20958097,7873858,757199,7000,68376,345,436,2163,563,233,128
2021-03-05,2154,6,58745,22735217,8189101,727074,9152,68376,508,474,2061,563,229,121
2021-03-06,1680,7,54309,24744388,8244487,661789,11575,68224,456,527,1964,563,194,117
2021-03-07,1683,3,40996,23815997,8014707,515797,10023,67781,369,414,1896,561,188,108
2021-03-08,1529,8,53056,22047643,8089433,755753,16245,67781,331,375,1874,561,195,102
2021-03-09,1280,9,59586,21883324,8083106,768910,14310,67781,337,337,1861,561,185,100
2021-03-10,1448,5,58954,22178402,8116565,770418,11289,67781,475,296,1858,561,184,88
2021-03-11,1647,9,59556,21525692,7991892,757449,13284,67781,308,488,1803,561,179,87
2021-03-12,1575,3,53899,24207087,8489338,761649,18326,66961,356,361,1775,554,180,95
2021-03-13,1470,3,46279,28119159,8877443,726535,22648,66961,342,458,1707,554,183,89
2021-03-14,1354,4,34321,26690371,8550602,566238,23356,66961,391,333,1719,554,177,92
2021-03-15,1208,3,51747,25099040,8684914,832660,12348,66961,309,386,1658,554,181,89
2021-03-16,1063,5,60072,25329641,8779561,852516,9145,66961,394,382,1651,554,181,88
2021-03-17,1219,2,62437,26155181,8900957,861807,8946,66961,339,358,1677,554,184,64
2021-03-18,1213,3,61635,26201631,8969359,860874,14968,66961,442,354,1707,554,190,65
2021-03-19,1576,2,59016,27595331,9182252,821253,18314,66961,374,393,1736,554,189,90
2021-03-20,1671,4,54203,29689492,9254296,750901,15434,66773,408,384,1754,540,185,96
2021-03-21,1327,4,37652,27617156,8840413,581672,13952,66773,345,286,1797,540,183,90
2021-03-22,1116,5,56293,25754661,8898696,836874,8993,66765,434,403,1844,548,183,88
2021-03-23,1384,6,55388,25172905,8795675,809319,9505,66765,366,413,1837,548,183,92
2021-03-24,1268,2,61034,25490630,8812055,843902,8377,66765,361,274,1904,548,185,95
2021-03-25,1360,2,59480,25494344,8893752,846914,9248,66765,392,406,1932,537,180,95
2021-03-26,1275,1,53952,27301577,9140120,811181,13768,66765,404,448,1899,537,190,102
2021-03-27,1199,2,46572,28515773,9125806,735107,18349,66765,412,456,1909,537,204,104
2021-03-28,1302,4,36063,27687633,8855842,566819,20509,66761,394,357,1938,541,199,107
2021-03-29,941,5,50996,25320414,8785294,807917,14744,66761,352,417,1869,541,199,104
2021-03-30,1133,5,56717,26845453,9037869,836160,15089,67032,328,413,1791,543,198,102
2021-03-31,1482,7,59732,27494131,9151370,838731,13233,66749,361,291,1853,541,199,111
2021-04-01,1178,6,57913,27532135,9233444,840930,12252,66749,351,435,1794,541,196,108
2021-04-02,1294,5,60161,28459542,9317396,766643,16375,66749,407,375,1812,541,195,111
2021-04-03,1638,3,48119,30683901,9522743,732473,22904,66749,420,373,1837,541,203,107
2021-04-04,1349,2,36861,27520616,8924546,559114,24918,66749,416,428,1753,541,202,111
2021-04-05,1070,7,50952,25043533,8880159,812689,13456,66749,407,383,1808,541,211,109
2021-04-06,1300,5,60019,26045484,9052971,834902,13206,66749,460,376,1864,541,211,108
2021-04-07,1139,4,61476,26165808,9075631,837422,12776,66749,442,322,1896,541,227,111
2021-04-08,1285,4,62874,26334848,9159801,843406,13378,66749,500,419,1852,541,213,109
2021-04-09,1854,5,58019,27332405,9306529,799672,15530,66749,464,476,1950,541,223,109
2021-04-10,1510,8,51970,30122460,9475168,732259,22063,66749,630,467,1992,541,231,111
2021-04-11,1739,8,39309,28070667,9055876,559637,21719,66749,524,493,2056,541,228,110
2021-04-12,1317,4,57219,26619591,9279937,795286,17452,66992,464,362,2110,543,245,118
2021-04-13,1767,12,70929,21251728,8148096,714321,11869,66992,495,553,2176,543,241,116
2021-04-14,1889,8,68759,21881336,8346120,769892,13510,67046,782,509,2221,543,248,115
2021-04-15,2148,10,70526,21334315,8278371,767918,13750,67046,802,431,2249,543,259,120
2021-04-16,2551,2,71601,22818181,8523810,747782,15638,67040,646,561,2305,557,281,129
2021-04-17,2331,5,65236,23933941,8345577,679481,24358,67200,678,592,2398,564,273,129
2021-04-18,2195,8,51507,23100593,8103655,525578,23630,67200,705,492,2453,564,281,129
2021-04-19,2078,8,65131,21411495,8297582,766439,18817,67997,603,553,2501,564,295,144
2021-04-20,2341,3,80247,21785813,8365861,776676,18550,67993,621,658,2434,593,314,141
2021-04-21,2340,11,81258,21982474,8363161,780098,18219,67993,685,656,2536,593,321,150
2021-04-22,2875,7,81947,21814578,8384220,774648,21050,67993,779,790,2520,593,327,167
2021-04-23,2847,8,85267,23803466,8678589,748400,33945,67993,780,676,2627,593,328,175
2021-04-24,2717,11,72372,25609197,8632314,680722,42312,67989,717,779,2624,600,338,181
2021-04-25,2690,10,58374,23966676,8246510,524611,42768,67989,669,878,2634,600,345,188
2021-04-26,2776,13,70955,21758118,8318595,758192,30531,68003,836,694,2777,611,378,199
2021-04-27,2733,13,86586,21392464,8234634,770290,30587,67976,890,956,2799,635,390,200
2021-04-28,3142,15,88294,22716147,8435497,779764,35359,67976,871,703,2888,635,406,214
2021-04-29,3332,15,81098,22852973,8212688,700558,46201,68092,820,780,2992,635,399,219
2021-04-30,3788,14,82142,24290885,8656592,746990,50541,67035,1000,916,3071,643,418,242
2021-05-01,2881,15,62700,25520752,8361849,524953,74052,67003,871,841,3099,678,436,242
2021-05-02,3418,12,57171,24231021,8203966,520615,64137,67000,1140,759,3250,696,442,251
2021-05-03,2500,18,74433,23254128,8536478,772695,46647,67130,853,782,3409,708,452,245
2021-05-04,3120,23,94071,22744061,8483078,781133,45769,67310,984,767,3438,711,442,259
2021-05-05,3744,17,94134,24049100,8682917,792487,54697,67814,1046,885,3698,711,453,260
2021-05-06,3551,19,92432,23611193,8642911,792592,49861,67814,971,804,3816,711,490,280
2021-05-07,4498,22,87377,23217042,8551907,760373,40581,67796,994,935,3954,732,508,304
2021-05-08,4519,25,79969,25047635,8521542,692328,53588,67815,949,837,4041,738,535,295
2021-05-09,3733,26,67096,23018256,8186473,527528,41574,67818,1187,732,4203,738,547,294
2021-05-10,3807,17,63499,21911978,8306025,758285,30923,69909,1186,1082,4427,767,616,331
2021-05-11,3973,22,102452,23265144,8552943,749167,34580,70675,1027,1063,4461,789,636,354
2021-05-12,4765,39,83690,22178702,7923638,690075,45522,70675,1296,1083,4619,801,628,349
2021-05-13,4855,27,55026,10104640,4633809,361683,24304,70836,1236,1157,4689,800,655,348
2021-05-14,4113,34,47225,13990809,5768748,391904,38396,70793,965,929,4849,845,664,364
2021-05-15,4140,44,63228,17830889,6745474,530423,46753,70780,1100,989,4953,858,677,376
2021-05-16,3780,36,67795,16552638,6472395,449730,44046,70742,1034,972,5106,890,690,387
2021-05-17,4446,45,94987,19238488,7532172,731164,46311,70772,1140,1012,5386,995,756,399
2021-05-18,4865,47,114324,18849131,7542128,762915,43469,70747,1171,1010,4932,1030,755,377
2021-05-19,6075,46,120285,19420502,7646418,783531,46147,70744,1302,968,5674,1030,823,472
2021-05-20,6806,59,120930,19907875,7797155,794429,47718,72575,1358,1154,5978,1071,875,496
2021-05-21,6493,50,126187,20228235,7773728,758447,55725,72544,1364,1101,6064,1072,968,530
2021-05-22,6320,50,116857,18651121,7154725,677938,48652,72668,1416,1146,6324,1050,974,531
2021-05-23,6976,49,110845,16769456,6659891,529869,38709,72608,1412,1157,6488,1097,1009,535
2021-05-24,6509,61,111363,19266279,7657783,792841,39334,72897,1400,1016,6887,1105,1046,537
2021-05-25,7289,60,128861,18763826,7531634,800822,35332,73187,1455,1300,7027,1111,1129,575
2021-05-26,7478,63,122419,15120040,6500935,639227,25119,73184,1517,1303,7208,1111,1107,585
2021-05-27,7857,59,123492,11414288,5838257,716596,20008,73334,1466,1040,7429,1116,1126,573
2021-05-28,8290,61,133912,7031026,4428873,587564,11203,73332,1543,1384,7570,1117,1161,605
2021-05-29,9020,98,118415,5271811,3437237,452364,8073,73336,1517,1567,7500,1113,1154,613
2021-05-30,6999,79,96147,2999182,2106959,266148,10996,73341,1569,1416,7723,1114,1157,619
2021-05-31,6824,67,107337,13806523,4448733,574661,17966,73406,1331,1412,7626,1129,1182,642
2021-06-01,7105,71,111919,12836910,5818512,483638,10750,74853,1468,1338,7676,1127,1181,624
2021-06-02,7703,126,115231,14368575,6392792,534516,2407,74933,1479,1358,7587,1125,1202,637
2021-06-03,8209,103,111760,15024454,6621910,565587,7501,74933,1438,1440,7565,1125,1176,571
2021-06-04,7748,86,110377,15024835,6588921,543353,11439,74931,1350,1597,7337,1127,1154,632
2021-06-05,7452,109,98306,15084945,6522677,502880,11835,74929,1494,1388,7457,1133,1155,640
2021-06-06,6241,87,86239,13511240,6053780,414035,9360,74917,1460,1249,7462,1148,1188,632
2021-06-07,5271,82,80166,13100123,5911343,434394,9370,74917,1380,1334,7276,1148,1175,647
2021-06-08,5566,76,94606,17112576,7336194,608980,16398,74912,1350,1384,7178,1152,1155,634
2021-06-09,6239,75,105870,16821298,7281910,606797,20146,74881,1269,1296,7136,1182,1154,632
2021-06-10,5671,73,101818,16495696,7226658,606017,12405,74872,1306,1421,7052,1191,1126,627
2021-06-11,6849,84,96787,16436489,7179736,579486,15231,75216,1303,1303,6969,1191,1149,605
2021-06-12,5793,76,87347,15786028,6913902,534178,11232,75213,1285,1216,6967,1194,1133,603
2021-06-13,5331,64,72762,14144443,6375628,427657,16588,75213,1236,1301,6844,1194,1150,591
2021-06-14,4922,60,81058,16910128,7393790,616368,20738,75213,1241,1305,6724,1194,1130,627
2021-06-15,5419,101,88700,17026385,7465586,626671,20305,75506,1407,1415,6742,1196,1113,557
2021-06-16,5150,73,78832,17013396,7490105,632616,19818,75539,1189,1263,6669,1191,1141,615
2021-06-17,5738,60,87422,16725691,7424414,631177,19829,75487,1544,1154,6749,1193,1119,614
2021-06-18,6440,74,89699,16831412,7411024,600329,23455,75493,1414,1337,6812,1187,1125,604
2021-06-19,5911,72,82151,16438319,7196306,550854,22337,75225,1200,1292,6646,1187,1105,577
2021-06-20,5293,60,63828,14338600,6547034,426747,16905,75493,1209,1160,6688,1187,1088,585
2021-06-21,4611,69,73247,17259596,7599068,632717,21364,75493,1229,1115,6652,1187,1085,605
2021-06-22,4743,77,82257,17280009,7636028,639709,10803,75959,1433,1312,6682,1192,1116,599
2021-06-23,5244,83,81739,17381073,7682156,644963,10037,76749,1399,1426,6616,1192,1119,575
2021-06-24,5841,84,77413,17079569,7612496,643911,11612,76592,1365,1240,6676,1191,1109,578
2021-06-25,5812,82,80559,17040493,7534778,609906,11299,77437,1212,1291,6264,1208,1109,581
2021-06-26,5803,81,73391,16528639,7294517,557715,9135,77437,1284,1270,6704,1208,1104,522
2021-06-27,5586,60,63591,14305344,6559382,437792,8261,77379,1148,965,6669,1246,1126,594
2021-06-28,5218,57,74103,17545075,7745713,643293,9730,77384,1286,1215,6925,1251,1150,538
2021-06-29,6437,107,91141,17865681,7849601,654252,10364,77612,1223,1383,7014,1251,1160,608
2021-06-30,6276,62,97536,18979117,8129506,669990,12832,77610,1139,1236,6932,1253,1159,615
2021-07-01,6988,84,98031,18908211,8101091,671387,14046,77470,1385,1342,7127,1253,1204,619
2021-07-02,6982,73,96504,20441759,8380952,646740,18670,77652,1384,1315,7366,1224,1180,626
2021-07-03,6658,107,85841,16488851,7105297,548689,11767,77644,1376,1282,7509,1224,1163,642
2021-07-04,6045,63,68722,14881701,6633487,452691,9977,78250,1259,1022,7759,1238,1222,643
2021-07-05,6387,77,86760,17892572,7705699,642683,12455,78247,1244,1119,7802,1241,1228,652
2021-07-06,7654,103,93001,18095935,7780087,652396,11809,78247,1417,1162,7971,1241,1266,654
2021-07-07,7097,91,102414,18400422,7865994,661277,13541,78238,1406,1179,8123,1269,1288,701
2021-07-08,8868,135,106505,18258832,7861018,665133,19235,78238,1424,1385,8171,1269,1289,711
2021-07-09,9180,77,114370,18042905,7734690,623039,19503,78232,1467,1189,8375,1275,1311,720
2021-07-10,9353,87,102829,16655703,7274107,565680,27155,78236,1442,1299,8379,1281,1310,711
2021-07-11,9105,91,95149,14585281,6612889,457725,22005,78236,1579,1120,8709,1281,1332,720
2021-07-12,8574,102,124677,18070731,7824609,653136,43348,78451,1438,1151,8857,1297,1391,739
2021-07-13,11079,125,138365,17743210,7769519,657890,41265,78424,1521,1260,8975,1316,1416,780
2021-07-14,11618,118,141643,19039637,8089914,675406,46591,78413,1761,1176,9320,1316,1253,698
2021-07-15,13215,110,151957,19074986,8097781,676956,51738,78415,1626,1232,9606,1335,1206,716
2021-07-16,12541,115,143750,18992596,8005078,642944,52863,78844,1489,1096,10000,1354,1270,709
2021-07-17,12528,138,135292,18974196,7887380,604215,48744,78834,1768,1239,10080,1364,1312,729
2021-07-18,10710,153,110009,17259037,7393890,489732,44084,78834,1719,1313,10378,1369,1317,734
